,compound_emoji
1478,0.009
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,-0.0165
1490,0.0
1491,0.46499999999999997
1492,0.2385
1493,0.0895
1494,0.34425
1495,0.399
1496,0.08600000000000001
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.3
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.658
1517,0.0
1518,0.0
1519,0.0
1520,0.353
1521,0.0
1522,0.512
1523,0.512
1524,0.0
1525,0.746
1526,-0.211
1527,0.443
1528,0.0
1529,0.0
1530,0.0
1531,0.18
1532,0.0
1533,0.221
1534,0.633
1535,0.221
1536,0.427
1537,0.1665
1538,0.111
1539,0.221
1540,0.24733333333333332
1541,0.221
1542,0.221
1543,0.221
1544,0.221
1545,-0.145
1546,-0.4
1547,0.0
1548,0.572
1549,0.0
1550,0.0
1551,0.0
1552,0.221
1553,0.0
1554,0.221
1555,0.0
1556,0.221
1557,0.0
1558,0.0
1559,-0.118
1560,-0.314
1561,-0.314
1562,0.0
1563,0.0
1564,-0.118
1565,-0.314
1566,-0.314
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.678
1574,0.443
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.617
1588,0.0
1589,0.617
1590,0.0
1591,0.0
1592,0.746
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.14
1599,-0.118
1600,0.0
1601,-0.0995
1602,0.0
1603,0.2165
1604,0.339
1605,0.416
1606,0.373
1607,0.0
1608,0.0
1609,0.0
1610,0.063
1611,0.14
1612,0.0
1613,0.353
1614,0.0
1615,0.0
1616,0.063
1617,0.14
