,compound
1404,0.3612
1405,0.3612
1406,-0.2023
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,-0.8122
1414,-0.8122
1415,-0.8122
1416,-0.8122
1417,-0.8122
1418,0.0772
1419,0.3612
1420,0.0
1421,0.4588
1422,0.0
1423,0.0
1424,0.3182
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.3612
1435,0.0
1436,0.0
1437,0.2263
1438,0.0
1439,0.2075
1440,0.4404
1441,-0.5106
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.5106
1447,-0.0772
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.6369
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.6369
1459,0.0
1460,0.0
1461,0.4404
1462,0.0
1463,0.5528
1464,0.3365
1465,0.0
1466,0.0
1467,0.68
1468,0.0
1469,0.6209
1470,0.0
1471,-0.5719
1472,0.0
1473,0.4389
1474,0.0
1475,-0.0772
1476,-0.5859
1477,0.0
1478,0.0
1479,0.3612
1480,0.6476
1481,0.3612
1482,0.7178
1483,0.3612
1484,0.5267
1485,0.0
1486,0.0
1487,0.5994
1488,0.6597
1489,-0.5106
1490,0.4588
1491,0.3612
1492,-0.3947
1493,0.0
1494,0.0
1495,0.0
1496,-0.4003
1497,0.6705
1498,0.5264
1499,0.5994
1500,0.7067
1501,0.0
1502,0.0
1503,0.3612
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.3612
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.6369
1516,0.9022
1517,0.5859
1518,0.5859
1519,-0.2924
1520,0.1935
1521,0.0
1522,-0.2263
1523,-0.2263
1524,0.3612
1525,0.0
1526,0.0
1527,-0.34
1528,0.6705
1529,0.1139
1530,0.4215
1531,0.5574
1532,0.8807
1533,0.4404
1534,0.7424
1535,0.4404
1536,0.8313
1537,0.0
1538,0.0
1539,0.4404
1540,0.6249
1541,0.4404
1542,0.4404
1543,0.4404
1544,0.7003
1545,0.6705
1546,0.1779
1547,0.4939
1548,0.4738
1549,0.0
1550,0.0
1551,0.0
1552,0.4926
1553,0.0
1554,0.4926
1555,0.0
1556,0.5411
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.4588
1574,0.9135
1575,0.5994
1576,0.4215
1577,0.4215
1578,0.886
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.3612
1586,0.0
1587,0.0
1588,0.3612
1589,0.3612
1590,0.0
1591,0.5688
1592,0.0
1593,0.6573
1594,0.4215
1595,0.0
1596,0.4939
1597,0.4588
1598,0.4588
1599,-0.8687
1600,0.0
1601,0.1779
1602,0.9432
1603,0.6908
1604,0.7845
1605,0.4939
1606,0.0
1607,0.5719
1608,0.4588
1609,0.0
1610,0.0
1611,-0.34
1612,0.0
1613,0.5574
1614,0.0
1615,0.0
1616,0.0
1617,-0.34
1618,0.0
1619,0.5574
1620,0.0
1621,0.0
1622,0.34
1623,0.0
1624,-0.2732
1625,0.3612
1626,0.9136
1627,0.126
1628,0.0
1629,0.3818
1630,-0.0202
1631,0.2732
1632,-0.2769
1633,0.0
1634,0.0
1635,0.3612
1636,-0.3182
1637,-0.2263
1638,0.0
1639,0.0
1640,-0.34
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.7506
1646,0.4588
1647,0.4939
1648,0.0
1649,-0.34
1650,-0.4588
1651,0.25
1652,0.4767
1653,0.6369
1654,0.5574
1655,0.5859
1656,0.0
1657,0.0
1658,-0.0516
1659,0.4404
1660,0.0
1661,0.4404
1662,0.4588
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.4588
1670,0.6705
1671,0.8271
1672,0.4588
1673,0.0516
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,-0.5267
1679,0.0
1680,0.0
1681,0.7096
1682,0.4588
1683,0.0
1684,0.7506
1685,0.0
1686,0.0
1687,-0.1779
1688,0.0
1689,0.8519
1690,0.926
1691,0.7506
1692,-0.8402
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.4404
1700,0.2023
1701,0.0
1702,-0.0516
1703,0.4404
1704,0.4404
1705,0.1779
1706,0.4404
1707,0.4404
1708,0.4404
1709,0.4404
1710,0.1779
1711,-0.0194
1712,0.4588
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,-0.0194
1718,0.4588
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.4588
1724,0.6901
1725,0.0
1726,0.4939
1727,-0.4767
1728,0.0
1729,0.3612
1730,0.6808
1731,0.2714
1732,-0.5984
1733,-0.4003
1734,-0.0772
1735,0.7184
1736,0.0
1737,0.4404
1738,0.5859
1739,0.0
1740,0.3818
1741,-0.4515
1742,-0.2023
1743,0.7655
1744,0.7906
1745,0.0
1746,-0.4497
1747,0.5994
1748,0.5994
1749,0.5994
1750,0.3612
1751,0.25
1752,0.0
1753,-0.6369
1754,0.3612
1755,0.2023
1756,0.4939
1757,-0.4939
1758,0.0
1759,0.0
1760,0.0
1761,0.6344
1762,0.4019
1763,0.4215
1764,0.7003
1765,0.3182
1766,0.4767
1767,0.5106
1768,0.4215
1769,0.4588
1770,0.0
1771,0.3182
1772,0.4767
1773,0.5106
1774,0.4215
1775,0.4588
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.34
1784,0.0
1785,0.8316
1786,-0.5106
1787,0.0
1788,-0.3535
1789,0.7707
1790,-0.4767
1791,-0.6249
1792,0.7707
1793,0.4019
1794,0.75
1795,0.886
1796,0.4404
1797,0.1027
1798,0.7003
1799,0.8813
1800,0.8885
1801,0.9337
1802,0.6988
1803,0.0
1804,0.836
1805,-0.296
1806,0.5411
1807,0.0
1808,0.8588
1809,0.508
1810,0.0
1811,0.8271
1812,0.7579
1813,0.296
1814,0.7184
1815,0.4588
1816,0.872
1817,0.7717
1818,0.0
1819,0.128
1820,0.3612
1821,0.3612
1822,0.3612
1823,0.3612
1824,-0.2023
1825,0.128
1826,0.3612
1827,0.3612
1828,0.3612
1829,0.3612
1830,-0.2023
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,-0.8122
1838,-0.8122
1839,-0.8122
1840,-0.8122
1841,-0.8122
1842,0.0772
1843,0.3612
1844,0.0
1845,0.4588
1846,0.0
1847,0.0
1848,0.3182
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.3612
1859,0.0
1860,0.0
1861,0.2263
1862,0.0
1863,0.2075
1864,0.4404
1865,-0.5106
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.5106
1871,-0.0772
1872,0.0
1873,-0.3182
1874,0.6705
1875,0.0
1876,0.5093
1877,0.3802
1878,0.5815
1879,-0.3182
1880,0.6705
1881,0.0
1882,0.5093
1883,0.3802
1884,0.5815
1885,0.0
1886,0.8243
1887,0.0
1888,0.0
1889,0.0
1890,0.3182
1891,0.0
1892,0.0
1893,0.4404
1894,0.6369
1895,0.4404
1896,0.128
1897,0.0
1898,-0.4767
1899,0.0
1900,0.0
1901,0.0
1902,0.1531
1903,0.2732
1904,0.0
1905,0.0
1906,0.25
1907,-0.2023
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.6908
1913,0.0
1914,0.0
1915,0.296
1916,-0.4215
1917,0.3612
1918,0.3612
1919,0.0
1920,0.9169
1921,0.0
1922,0.7845
1923,-0.4767
1924,0.9559
1925,0.5574
1926,0.4939
1927,0.0
1928,0.128
1929,0.8478
1930,0.4588
1931,0.0
1932,0.4939
1933,0.0
1934,0.128
1935,0.8478
1936,0.4588
1937,0.0
1938,0.4897
1939,-0.561
1940,0.4588
1941,0.1779
1942,0.6124
1943,0.5367
1944,0.7574
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.4404
