,compound
1828,0.0
1829,-0.34
1830,-0.5106
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,-0.5859
1838,-0.5859
1839,-0.5859
1840,-0.5859
1841,-0.5859
1842,0.0
1843,0.0258
1844,0.0
1845,0.4019
1846,0.0
1847,0.0
1848,0.3182
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0772
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.3612
1859,0.0
1860,0.0
1861,0.4215
1862,0.0
1863,0.2732
1864,0.4404
1865,-0.5106
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.5106
1871,0.0
1872,0.0
1873,-0.3182
1874,0.6124
1875,0.0
1876,0.3612
1877,0.0
1878,0.4404
1879,-0.3182
1880,0.6124
1881,0.0
1882,0.3612
1883,0.0
1884,0.4404
1885,0.0
1886,0.5994
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.5859
1894,0.6369
1895,0.5859
1896,-0.3612
1897,0.0
1898,-0.4767
1899,0.0
1900,0.0
1901,0.0
1902,0.3612
1903,0.4588
1904,0.0
1905,0.0
1906,0.25
1907,-0.4767
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.765
1913,0.0
1914,0.0
1915,0.4404
1916,0.0
1917,0.0
1918,0.0
1919,-0.3818
1920,0.9001
1921,0.0
1922,0.7845
1923,-0.4767
1924,0.9501
1925,0.5574
1926,0.0
1927,0.0
1928,0.0
1929,0.872
1930,0.4588
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.872
1936,0.4588
1937,0.0
1938,0.34
1939,-0.4019
1940,0.7351
1941,0.0
1942,0.5106
1943,0.4767
1944,0.3612
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.4404
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.4939
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.5859
1969,0.8658
1970,-0.7717
1971,0.3612
1972,0.0
1973,0.3612
1974,-0.6369
1975,0.0
1976,0.0
1977,0.0
1978,-0.4767
1979,0.0
1980,0.3818
1981,0.5574
1982,0.8316
1983,0.4215
1984,0.0
1985,0.4019
1986,0.3818
1987,0.5574
1988,0.8316
